20, 2465, [07,02,2019], [07,05,2019]
14, 1242, [25,08,2016], [25,11,2016]
07, 1048, [30,06,2015], [30,09,2015]
04, 2973, [22,10,2015], [22,12,2015]
07, 6729, [27,12,2016], [27,03,2017]
15, 2917, [11,07,2016], [11,02,2017]
07, 5927, [20,09,2017], [20,12,2017]
14, 5826, [19,12,2016], [19,03,2017]
10, 5927, [24,08,2016], [24,12,2016]
24, 9864, [05,09,2019], [05,01,2020]
06, 2743, [06,06,2016], [06,10,2016]
12, 3826, [28,11,2016], [28,02,2017]
09, 2999, [12,11,2016], [12,05,2017]
03, 2853, [10,02,2015], [10,07,2015]
03, 3826, [11,07,2015], [11,09,2015]
02, 1937, [28,05,2015], [28,09,2015]
24, 2836, [09,11,2020], [09,12,2020]
08, 1836, [04,04,2016], [04,08,2016]
16, 3927, [25,04,2017], [25,08,2017]
17, 9273, [20,11,2016], [20,03,2017]
02, 8362, [17,09,2017], [17,12,2017]
19, 2947, [02,06,2018], [02,10,2018]
23, 2975, [02,12,2018], [02,04,2019]
24, 2753, [19,01,2022], [19,06,2022]
09, 9583, [13,05,2019], [13,08,2019]
10, 6353, [04,01,2018], [04,02,2018]
03, 8567, [25,08,2016], [25,11,2016]
07, 4364, [21,02,2018], [21,05,2018]
14, 7453, [07,04,2017], [07,07,2017]
16, 4753, [07,07,2019], [07,09,2019]
14, 5722, [23,08,2018], [23,11,2018]
20, 8686, [16,08,2019], [16,11,2019]
24, 9646, [21,10,2022], [21,02,2023]
12, 3452, [05,12,2019], [05,04,2020]
07, 2586, [05,06,2018], [05,08,2018]
16, 6367, [05,03,2020], [05,05,2020]
21, 3676, [02,08,2019], [02,12,2019]
06, 8748, [14,08,2020], [14,10,2020]
16, 8535, [28,02,2022], [28,05,2022]
08, 6376, [26,04,2018], [26,09,2018]
20, 3673, [19,12,2019], [11,12,2022]
16, 3673, [03,07,2022], [03,10,2022]
11, 9765, [02,11,2018], [02,01,2019]
18, 4674, [07,12,2016], [07,04,2017]
25, 6473, [12,11,2020], [12,02,2021]
12, 3575, [29,06,2021], [29,07,2021]
03, 7484, [20,03,2018], [20,05,2018]
05, 4735, [20,08,2018], [20,12,2018]
16, 4784, [07,10,2022]
02, 2462, [11,02,2018], [11,04,2018]
12, 4874, [16,04,2022], [16,06,2022]
12, 5895, [17,06,2022], [17,09,2022]
19, 3562, [23,10,2022]
23, 7594, [01,10,2022], [08,12,2022]
25, 3562, [22,09,2022]
13, 3579, [17,07,2020], [17,11,2020]
20, 0875, [11,12,2022]
02, 3453, [25,09,2018], [25,12,2018]
07, 6787, [30,04,2021], [30,08,2021]
03, 2343, [24,11,2022], [08,12,2022]
12, 1242, [06,12,2022], [11,12,2022]
13, 1231, [06,12,2022], [12,12,2022]
13, 6547, [12,12,2022], [28,04,2023]
13, 5511, [28,04,2023]
13, 9999
